iter	Passed	Remaining
945	93112	5315
946	93218	5217
947	93319	5118
948	93449	5022
949	93553	4923
950	93651	4825
951	93751	4726
952	93851	4628
953	93972	4531
954	94079	4433
955	94193	4335
956	94287	4236
957	94388	4138
958	94502	4040
959	94611	3942
960	94723	3844
961	94854	3746
962	94974	3649
963	95078	3550
964	95193	3452
965	95295	3354
966	95394	3255
967	95483	3156
968	95586	3057
969	95675	2959
970	95774	2860
971	95850	2761
972	95952	2662
973	96048	2563
974	96142	2465
975	96240	2366
976	96337	2267
977	96421	2168
978	96498	2069
979	96607	1971
980	96705	1872
981	96807	1774
982	96905	1675
983	97005	1577
984	97098	1478
985	97193	1380
986	97273	1281
987	97373	1182
988	97451	1083
989	97526	985
990	97635	886
991	97730	788
992	97818	689
993	97900	590
994	97992	492
995	98083	393
996	98178	295
997	98269	196
998	98365	98
999	98457	0
